graph_id,node_id,nf_0,nf_1,nf_2,nf_3,nf_4,nf_5,nf_6,nf_7
BACE_604,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BACE_604,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BACE_604,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BACE_604,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BACE_604,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BACE_604,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BACE_604,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BACE_604,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BACE_604,8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BACE_604,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BACE_604,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BACE_604,11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BACE_604,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BACE_604,13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BACE_604,14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BACE_604,15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BACE_604,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BACE_604,17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BACE_604,18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BACE_604,19,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BACE_604,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BACE_604,21,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BACE_604,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BACE_604,23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BACE_604,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BACE_604,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BACE_604,26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BACE_604,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BACE_604,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BACE_604,29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BACE_662,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BACE_662,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BACE_662,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BACE_662,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BACE_662,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BACE_662,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BACE_662,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BACE_662,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BACE_662,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
