id,target
BACE_1042,0
BACE_1022,0
BACE_1275,0
BACE_36,1
BACE_851,0
BACE_760,1
BACE_1065,0
BACE_175,0
BACE_1436,0
BACE_1107,0
BACE_1037,0
BACE_1288,0
BACE_791,1
BACE_869,0
BACE_1416,0
BACE_112,0
BACE_1377,0
BACE_956,0
BACE_1302,0
BACE_1232,0
BACE_1154,0
BACE_1217,0
BACE_1153,0
BACE_987,0
BACE_115,0
BACE_1158,0
BACE_108,0
BACE_1390,0
BACE_1174,0
BACE_1132,0
BACE_1031,0
BACE_998,0
BACE_1160,0
BACE_1330,0
BACE_147,0
BACE_827,0
BACE_1465,0
BACE_138,0
BACE_906,0
BACE_1485,0
BACE_941,0
BACE_856,0
BACE_1481,0
BACE_1208,0
BACE_1509,0
BACE_896,0
BACE_204,0
BACE_1412,0
BACE_1439,0
BACE_1373,0
BACE_712,1
BACE_1218,0
BACE_1012,0
BACE_1381,0
BACE_1131,0
BACE_1523,0
BACE_163,0
BACE_866,0
BACE_895,0
BACE_1267,0
BACE_128,0
BACE_1192,0
BACE_477,1
BACE_1250,0
BACE_408,1
BACE_974,0
BACE_1356,0
BACE_1308,0
BACE_202,0
BACE_730,1
BACE_1322,0
BACE_1045,0
BACE_929,0
BACE_983,0
BACE_972,0
BACE_1486,0
BACE_826,0
BACE_1534,0
BACE_1105,0
BACE_1546,0
BACE_984,0
BACE_1317,0
BACE_721,1
BACE_914,0
BACE_1524,0
BACE_795,1
BACE_1135,0
BACE_157,0
BACE_810,1
BACE_1489,0
BACE_117,0
BACE_871,0
BACE_161,0
BACE_131,0
BACE_1000,0
BACE_190,0
BACE_1259,0
BACE_1341,0
BACE_201,0
BACE_273,1
BACE_995,0
BACE_192,0
BACE_1240,0
BACE_1371,0
BACE_181,0
BACE_964,0
BACE_1511,0
BACE_1222,0
BACE_113,0
BACE_1528,0
BACE_116,0
BACE_1149,0
BACE_962,0
BACE_1527,0
BACE_1263,0
BACE_1067,0
BACE_1324,0
BACE_1269,0
BACE_965,0
BACE_1035,0
BACE_636,1
BACE_1295,0
BACE_940,0
BACE_169,0
BACE_1497,0
BACE_930,0
BACE_1544,0
BACE_1529,0
BACE_1147,0
BACE_1117,0
BACE_1496,0
BACE_72,1
BACE_1023,0
BACE_1402,0
BACE_198,0
BACE_1340,0
BACE_170,0
BACE_1396,0
BACE_921,0
BACE_533,1
BACE_200,0
BACE_1430,0
BACE_244,1
BACE_1375,0
BACE_87,1
BACE_1235,0
BACE_865,0
BACE_1437,0
BACE_1421,0
BACE_891,0
BACE_689,1
BACE_980,0
BACE_1144,0
BACE_1162,0
BACE_1087,0
BACE_1447,0
BACE_910,0
BACE_165,0
BACE_1359,0
BACE_1480,0
BACE_1181,0
BACE_853,0
BACE_893,0
BACE_890,0
BACE_852,0
BACE_1029,0
BACE_173,0
BACE_1354,0
BACE_1253,0
BACE_1085,0
BACE_172,0
BACE_828,0
BACE_404,1
BACE_1109,0
BACE_1530,0
BACE_1193,0
BACE_1083,0
BACE_858,0
BACE_664,1
BACE_510,1
BACE_1255,0
BACE_142,0
BACE_989,0
BACE_1024,0
BACE_872,0
BACE_882,0
BACE_892,0
BACE_185,0
BACE_1281,0
BACE_1474,0
BACE_955,0
BACE_196,0
BACE_1468,0
BACE_199,0
BACE_996,0
BACE_1221,0
BACE_501,1
BACE_1492,0
BACE_1455,0
BACE_514,1
BACE_1333,0
BACE_881,0
BACE_878,0
BACE_1032,0
BACE_1517,0
BACE_1053,0
BACE_1391,0
BACE_1191,0
BACE_1159,0
BACE_180,0
BACE_21,1
BACE_1103,0
BACE_945,0
BACE_1525,0
BACE_1018,0
BACE_119,0
BACE_1040,0
BACE_900,0
BACE_1433,0
BACE_1055,0
BACE_1399,0
BACE_1113,0
BACE_848,0
BACE_1533,0
BACE_148,0
BACE_849,0
BACE_831,0
BACE_683,1
BACE_1104,0
BACE_140,0
BACE_1130,0
BACE_870,0
BACE_1272,0
BACE_1165,0
BACE_835,0
BACE_751,1
BACE_1187,0
BACE_1389,0
BACE_158,0
BACE_400,1
BACE_1387,0
BACE_968,0
BACE_1071,0
BACE_938,0
BACE_867,0
BACE_1225,0
BACE_950,0
BACE_1343,0
BACE_1345,0
BACE_1309,0
BACE_863,0
BACE_1393,0
BACE_557,1
BACE_1351,0
BACE_936,0
BACE_123,0
BACE_256,1
BACE_125,0
BACE_183,0
BACE_905,0
BACE_876,0
BACE_279,1
BACE_133,0
BACE_1428,0
BACE_124,0
BACE_1289,0
BACE_986,0
BACE_1143,0
BACE_1395,0
BACE_1243,0
BACE_1215,0
BACE_1358,0
BACE_127,0
BACE_1106,0
BACE_1429,0
BACE_164,0
BACE_1274,0
BACE_1271,0
BACE_1025,0
BACE_564,1
BACE_655,1
BACE_1224,0
BACE_1189,0
BACE_203,0
BACE_877,0
BACE_1316,0
BACE_104,0
BACE_1264,0
BACE_1057,0
BACE_197,0
BACE_911,0
BACE_1505,0
BACE_1442,0
BACE_982,0
BACE_195,0
BACE_1350,0
BACE_1050,0
BACE_1137,0
BACE_1459,0
BACE_1112,0
BACE_846,0
BACE_162,0
BACE_837,0
BACE_1006,0
BACE_1038,0
BACE_1168,0
BACE_954,0
BACE_862,0
BACE_1398,0
BACE_1352,0
BACE_1478,0
BACE_34,1
BACE_958,0
BACE_947,0
BACE_182,0
BACE_1441,0
BACE_1244,0
BACE_1122,0
BACE_1273,0
BACE_685,1
BACE_1204,0
BACE_541,1
BACE_1417,0
BACE_949,0
BACE_901,0
BACE_653,1
BACE_286,1
BACE_971,0
BACE_861,0
BACE_920,0
BACE_32,1
BACE_1,1
BACE_915,0
BACE_1171,0
BACE_1464,0
BACE_1142,0
BACE_838,0
BACE_269,1
BACE_879,0
BACE_1425,0
BACE_1415,0
BACE_1066,0
BACE_1406,0
BACE_1261,0
BACE_934,0
BACE_902,0
BACE_1241,0
BACE_1194,0
BACE_990,0
BACE_555,1
BACE_1206,0
BACE_141,0
BACE_1460,0
BACE_1470,0
BACE_144,0
BACE_156,0
BACE_101,1
BACE_154,0
BACE_1363,0
BACE_152,0
BACE_854,0
BACE_883,0
BACE_1300,0
BACE_1449,0
BACE_1100,0
BACE_1513,0
BACE_136,0
BACE_1148,0
BACE_927,0
BACE_1452,0
BACE_1260,0
BACE_1448,0
BACE_121,0
BACE_1518,0
BACE_1411,0
BACE_109,0
BACE_886,0
BACE_1403,0
BACE_90,1
BACE_1254,0
BACE_80,1
BACE_1321,0
BACE_55,1
BACE_875,0
BACE_1306,0
BACE_969,0
BACE_1339,0
BACE_1219,0
BACE_1167,0
BACE_1457,0
BACE_1223,0
BACE_1155,0
BACE_1079,0
BACE_1323,0
BACE_684,1
BACE_134,0
BACE_120,0
BACE_1021,0
BACE_1487,0
BACE_1170,0
BACE_155,0
BACE_107,0
BACE_1501,0
BACE_135,0
BACE_1176,0
BACE_832,0
